Location,Poverty Level,TimeFrame,DataFormat,Data
ACADEMY 20,Eligible for Free or Reduced Lunch,2006,Number,1534
ACADEMY 20,Eligible for Reduced Price Lunch,2006,Number,653
ACADEMY 20,Eligible for Reduced Price Lunch,2006,Percent,0.0308
ACADEMY 20,Eligible for Free or Reduced Lunch,2006,Percent,0.0723
ACADEMY 20,Eligible for Free Lunch,2006,Percent,0.0416
ACADEMY 20,Eligible for Reduced Price Lunch,2005,Percent,0.0223
ACADEMY 20,Eligible for Free Lunch,2005,Percent,0.0364
ACADEMY 20,Eligible for Reduced Price Lunch,2005,Number,458
ACADEMY 20,Eligible for Free or Reduced Lunch,2005,Percent,0.0587
ACADEMY 20,Eligible for Free Lunch,2005,Number,746
ACADEMY 20,Eligible for Free or Reduced Lunch,2005,Number,1204
ACADEMY 20,Eligible for Reduced Price Lunch,2004,Number,501
ACADEMY 20,Eligible for Free or Reduced Lunch,2004,Number,1182
ACADEMY 20,Eligible for Free Lunch,2004,Number,681
ACADEMY 20,Eligible for Reduced Price Lunch,2004,Percent,0.0253
ACADEMY 20,Eligible for Free or Reduced Lunch,2004,Percent,0.0596
ACADEMY 20,Eligible for Reduced Price Lunch,2003,Percent,0.02
ACADEMY 20,Eligible for Free Lunch,2004,Percent,0.0344
ACADEMY 20,Eligible for Free or Reduced Lunch,2003,Percent,0.06
ACADEMY 20,Eligible for Free Lunch,2003,Percent,0.03
ACADEMY 20,Eligible for Free Lunch,2003,Number,627
ACADEMY 20,Eligible for Free or Reduced Lunch,2003,Number,1062
ACADEMY 20,Eligible for Reduced Price Lunch,2003,Number,435
ACADEMY 20,Eligible for Free Lunch,2002,Number,509
ACADEMY 20,Eligible for Free or Reduced Lunch,2002,Number,905
ACADEMY 20,Eligible for Reduced Price Lunch,2002,Number,396
ACADEMY 20,Eligible for Reduced Price Lunch,2002,Percent,0.02118
ACADEMY 20,Eligible for Free or Reduced Lunch,2002,Percent,0.0484
ACADEMY 20,Eligible for Free Lunch,2002,Percent,0.02722
ACADEMY 20,Eligible for Reduced Price Lunch,2001,Percent,0.02244
ACADEMY 20,Eligible for Free or Reduced Lunch,2001,Percent,0.04714
ACADEMY 20,Eligible for Free Lunch,2001,Percent,0.0247
ACADEMY 20,Eligible for Free Lunch,2001,Number,448
ACADEMY 20,Eligible for Free or Reduced Lunch,2001,Number,855
ACADEMY 20,Eligible for Reduced Price Lunch,2001,Number,407
ACADEMY 20,Eligible for Free Lunch,2000,Number,369
ACADEMY 20,Eligible for Free or Reduced Lunch,2000,Number,701
ACADEMY 20,Eligible for Reduced Price Lunch,2000,Number,332
ACADEMY 20,Eligible for Free Lunch,2000,Percent,0.02
ACADEMY 20,Eligible for Free or Reduced Lunch,2000,Percent,0.04
ACADEMY 20,Eligible for Reduced Price Lunch,2000,Percent,0.02
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2000,Percent,0.11
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2000,Percent,0.56
ADAMS COUNTY 14,Eligible for Free Lunch,2000,Percent,0.44
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2000,Number,735
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2000,Number,3580
ADAMS COUNTY 14,Eligible for Free Lunch,2000,Number,2845
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2001,Number,858
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2001,Number,4128
ADAMS COUNTY 14,Eligible for Free Lunch,2001,Number,3270
ADAMS COUNTY 14,Eligible for Free Lunch,2001,Percent,0.49643
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2001,Percent,0.62669
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2001,Percent,0.13026
ADAMS COUNTY 14,Eligible for Free Lunch,2002,Percent,0.5415
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2002,Percent,0.63765
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2002,Percent,0.09615
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2002,Number,644
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2002,Number,4271
ADAMS COUNTY 14,Eligible for Free Lunch,2002,Number,3627
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2003,Number,541
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2003,Number,4514
ADAMS COUNTY 14,Eligible for Free Lunch,2003,Number,3973
ADAMS COUNTY 14,Eligible for Free Lunch,2003,Percent,0.61
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2003,Percent,0.69
ADAMS COUNTY 14,Eligible for Free Lunch,2004,Percent,0.6089
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2003,Percent,0.08
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2004,Percent,0.7056
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2004,Percent,0.0967
ADAMS COUNTY 14,Eligible for Free Lunch,2004,Number,4042
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2004,Number,4684
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2004,Number,642
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2005,Number,4906
ADAMS COUNTY 14,Eligible for Free Lunch,2005,Number,4244
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2005,Percent,0.7143
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2005,Number,662
ADAMS COUNTY 14,Eligible for Free Lunch,2005,Percent,0.6179
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2005,Percent,0.0964
ADAMS COUNTY 14,Eligible for Free Lunch,2006,Percent,0.6319
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2006,Percent,0.7372
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2006,Percent,0.1053
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2006,Number,720
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2006,Number,5041
ADAMS COUNTY 14,Eligible for Free Lunch,2006,Number,4321
ADAMS COUNTY 14,Eligible for Free Lunch,2007,Number,4770
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2007,Number,5448
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2007,Number,678
ADAMS COUNTY 14,Eligible for Free Lunch,2007,Percent,0.71
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2007,Percent,0.81
ADAMS COUNTY 14,Eligible for Free Lunch,2008,Percent,0.6852
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2007,Percent,0.1
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2008,Percent,0.797
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2008,Percent,0.1118
ADAMS COUNTY 14,Eligible for Free Lunch,2008,Number,4836
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2008,Number,5625
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2008,Number,789
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2013,Number,717
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2013,Number,6196
ADAMS COUNTY 14,Eligible for Free Lunch,2013,Number,5479
ADAMS COUNTY 14,Eligible for Free Lunch,2013,Percent,0.72111
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2013,Percent,0.81548
ADAMS COUNTY 14,Eligible for Free Lunch,2009,Percent,0.7125
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2013,Percent,0.09437
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2009,Percent,0.8213
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2009,Percent,0.1089
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2009,Number,808
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2009,Number,6096
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2010,Number,696
ADAMS COUNTY 14,Eligible for Free Lunch,2009,Number,5288
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2010,Number,6330
ADAMS COUNTY 14,Eligible for Free Lunch,2010,Number,5634
ADAMS COUNTY 14,Eligible for Free Lunch,2010,Percent,0.746
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2010,Percent,0.839
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2010,Percent,0.092
ADAMS COUNTY 14,Eligible for Free Lunch,2011,Percent,0.7528
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2011,Percent,0.8421
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2011,Number,6165
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2011,Percent,0.0893
ADAMS COUNTY 14,Eligible for Free Lunch,2011,Number,5511
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2011,Number,654
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2012,Number,6158
ADAMS COUNTY 14,Eligible for Free Lunch,2012,Number,5486
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2012,Percent,0.82107
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2012,Number,672
ADAMS COUNTY 14,Eligible for Free Lunch,2012,Percent,0.73147
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2012,Percent,0.0896
ADAMS COUNTY 14,Eligible for Free Lunch,2014,Percent,0.65322
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2014,Percent,0.06883
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2014,Number,522
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2014,Percent,0.72205
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2014,Number,5476
ADAMS COUNTY 14,Eligible for Free Lunch,2014,Number,4954
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2014,Number,25518
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2014,Number,28969
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2014,Percent,0.69422
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2014,Number,3451
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2014,Percent,0.0827
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2014,Percent,0.61152
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2012,Percent,0.07842
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2012,Percent,0.59955
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2012,Number,3124
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2012,Percent,0.67797
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2012,Number,23883
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2012,Number,27007
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2011,Number,3137
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2011,Number,22671
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2011,Percent,0.079
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2011,Number,25808
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2011,Percent,0.6501
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2011,Percent,0.5711
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2010,Percent,0.074
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2010,Percent,0.635
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2010,Percent,0.561
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2010,Number,21645
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2010,Number,24513
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2009,Number,19938
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2010,Number,2868
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2009,Number,22677
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2009,Number,2739
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2009,Percent,0.0741
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2009,Percent,0.6134
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2013,Percent,0.07946
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2009,Percent,0.5393
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2013,Percent,0.67657
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2013,Percent,0.59711
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2013,Number,24408
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2013,Number,27656
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2013,Number,3248
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2008,Number,2933
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2008,Number,21167
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2008,Number,18234
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2008,Percent,0.0826
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2008,Percent,0.5959
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2007,Percent,0.08
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2008,Percent,0.5133
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2007,Percent,0.56
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2007,Percent,0.48
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2007,Number,2555
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2007,Number,18792
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2007,Number,16237
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2006,Number,15632
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2006,Number,18247
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2006,Number,2615
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2006,Percent,0.0773
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2006,Percent,0.5394
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2006,Percent,0.4621
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Percent,0.0588
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Percent,0.4347
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Number,1958
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Percent,0.4935
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Number,14476
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Number,16434
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2004,Number,1906
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2004,Number,15563
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2004,Number,13657
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2004,Percent,0.0591
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2004,Percent,0.4826
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2003,Percent,0.06
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2004,Percent,0.4235
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2003,Percent,0.42
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2003,Percent,0.36
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2003,Number,11690
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2003,Number,13715
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2003,Number,2025
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2002,Number,11355
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2002,Number,13599
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2002,Number,2244
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2002,Percent,0.06957
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2002,Percent,0.42164
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2002,Percent,0.35206
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2001,Percent,0.07263
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2001,Percent,0.35603
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2001,Percent,0.2834
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2001,Number,8935
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2001,Number,11225
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2001,Number,2290
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2000,Number,8619
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2000,Number,10987
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2000,Number,2368
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2000,Percent,0.28
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2000,Percent,0.36
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2000,Percent,0.08
AGATE 300,Eligible for Reduced Price Lunch,2000,Percent,0.1
AGATE 300,Eligible for Free or Reduced Lunch,2000,Percent,0.34
AGATE 300,Eligible for Free Lunch,2000,Percent,0.24
AGATE 300,Eligible for Reduced Price Lunch,2000,Number,11
AGATE 300,Eligible for Free or Reduced Lunch,2000,Number,37
AGATE 300,Eligible for Free Lunch,2000,Number,26
AGATE 300,Eligible for Reduced Price Lunch,2001,Number,77
AGATE 300,Eligible for Free or Reduced Lunch,2001,Number,114
AGATE 300,Eligible for Free Lunch,2001,Number,37
AGATE 300,Eligible for Free Lunch,2001,Percent,0.2803
AGATE 300,Eligible for Free or Reduced Lunch,2001,Percent,0.86364
AGATE 300,Eligible for Reduced Price Lunch,2001,Percent,0.58333
AGATE 300,Eligible for Free Lunch,2002,Percent,0.34821
AGATE 300,Eligible for Free or Reduced Lunch,2002,Percent,0.35714
AGATE 300,Eligible for Reduced Price Lunch,2002,Percent,0.00893
AGATE 300,Eligible for Reduced Price Lunch,2002,Number,1
AGATE 300,Eligible for Free or Reduced Lunch,2002,Number,40
AGATE 300,Eligible for Free Lunch,2002,Number,39
AGATE 300,Eligible for Reduced Price Lunch,2003,Number,8
AGATE 300,Eligible for Free or Reduced Lunch,2003,Number,40
AGATE 300,Eligible for Free Lunch,2003,Number,32
AGATE 300,Eligible for Free Lunch,2003,Percent,0.36
AGATE 300,Eligible for Free or Reduced Lunch,2003,Percent,0.44
AGATE 300,Eligible for Free Lunch,2004,Percent,0.2967
AGATE 300,Eligible for Reduced Price Lunch,2003,Percent,0.09
