Location,Score,TimeFrame,DataFormat,Data
ADAMS COUNTY 14,Math,2010,Percent,0.469
ADAMS COUNTY 14,Reading,2008,Percent,0.523
ADAMS COUNTY 14,Reading,2009,Percent,0.562
ADAMS COUNTY 14,Reading,2010,Percent,0.457
ADAMS COUNTY 14,Writing,2008,Percent,0.426
ADAMS COUNTY 14,Writing,2009,Percent,0.479
ADAMS COUNTY 14,Writing,2010,Percent,0.312
ADAMS COUNTY 14,Math,2011,Percent,0.476
ADAMS COUNTY 14,Reading,2011,Percent,0.571
ADAMS COUNTY 14,Writing,2011,Percent,0.31
ADAMS COUNTY 14,Reading,2012,Percent,0.54
ADAMS COUNTY 14,Math,2012,Percent,0.39
ADAMS COUNTY 14,Writing,2012,Percent,0.28793
ADAMS COUNTY 14,Math,2013,Percent,0.43704
ADAMS COUNTY 14,Math,2014,Percent,0.51241
ADAMS COUNTY 14,Reading,2013,Percent,0.54815
ADAMS COUNTY 14,Reading,2014,Percent,0.4767
ADAMS COUNTY 14,Writing,2014,Percent,0.27469
ADAMS COUNTY 14,Writing,2013,Percent,0.28386
ADAMS-ARAPAHOE 28J,Math,2008,Percent,0.473
ADAMS-ARAPAHOE 28J,Math,2009,Percent,0.456
ADAMS-ARAPAHOE 28J,Math,2010,Percent,0.453
ADAMS-ARAPAHOE 28J,Reading,2008,Percent,0.466
ADAMS-ARAPAHOE 28J,Reading,2009,Percent,0.483
ADAMS-ARAPAHOE 28J,Reading,2010,Percent,0.458
ADAMS-ARAPAHOE 28J,Writing,2008,Percent,0.339
ADAMS-ARAPAHOE 28J,Writing,2009,Percent,0.359
ADAMS-ARAPAHOE 28J,Writing,2010,Percent,0.286
ADAMS-ARAPAHOE 28J,Math,2011,Percent,0.429
ADAMS-ARAPAHOE 28J,Reading,2011,Percent,0.49
ADAMS-ARAPAHOE 28J,Writing,2011,Percent,0.286
ADAMS-ARAPAHOE 28J,Reading,2012,Percent,0.515
ADAMS-ARAPAHOE 28J,Math,2012,Percent,0.471
ADAMS-ARAPAHOE 28J,Writing,2012,Percent,0.34919
ADAMS-ARAPAHOE 28J,Math,2013,Percent,0.48704
ADAMS-ARAPAHOE 28J,Math,2014,Percent,0.49919
ADAMS-ARAPAHOE 28J,Reading,2013,Percent,0.48781
ADAMS-ARAPAHOE 28J,Reading,2014,Percent,0.46357
ADAMS-ARAPAHOE 28J,Writing,2014,Percent,0.32814
ADAMS-ARAPAHOE 28J,Writing,2013,Percent,0.3037
AGATE 300,Math,2008,Percent,#VALUE!
AGATE 300,Math,2009,Percent,#VALUE!
AGATE 300,Math,2010,Percent,N/A
AGATE 300,Reading,2008,Percent,N/A
AGATE 300,Reading,2009,Percent,N/A
AGATE 300,Reading,2010,Percent,N/A
AGATE 300,Writing,2008,Percent,0.278
AGATE 300,Writing,2009,Percent,0.29
AGATE 300,Writing,2010,Percent,N/A
AGATE 300,Math,2011,Percent,LNE
AGATE 300,Reading,2011,Percent,LNE
AGATE 300,Writing,2011,Percent,LNE
AGATE 300,Reading,2012,Percent,LNE
AGATE 300,Math,2012,Percent,LNE
AGATE 300,Writing,2012,Percent,LNE
AGATE 300,Math,2013,Percent,LNE
AGATE 300,Math,2014,Percent,LNE
AGATE 300,Reading,2013,Percent,LNE
AGATE 300,Reading,2014,Percent,LNE
AGATE 300,Writing,2014,Percent,LNE
AGATE 300,Writing,2013,Percent,LNE
AGUILAR REORGANIZED 6,Math,2008,Percent,#VALUE!
AGUILAR REORGANIZED 6,Math,2009,Percent,#VALUE!
AGUILAR REORGANIZED 6,Math,2010,Percent,N/A
AGUILAR REORGANIZED 6,Reading,2008,Percent,N/A
AGUILAR REORGANIZED 6,Reading,2009,Percent,N/A
AGUILAR REORGANIZED 6,Reading,2010,Percent,N/A
AGUILAR REORGANIZED 6,Writing,2008,Percent,N/A
AGUILAR REORGANIZED 6,Writing,2009,Percent,N/A
AGUILAR REORGANIZED 6,Writing,2010,Percent,N/A
AGUILAR REORGANIZED 6,Math,2011,Percent,LNE
AGUILAR REORGANIZED 6,Reading,2011,Percent,LNE
AGUILAR REORGANIZED 6,Writing,2011,Percent,LNE
AGUILAR REORGANIZED 6,Reading,2012,Percent,LNE
AGUILAR REORGANIZED 6,Math,2012,Percent,LNE
AGUILAR REORGANIZED 6,Writing,2012,Percent,LNE
AGUILAR REORGANIZED 6,Math,2013,Percent,LNE
AGUILAR REORGANIZED 6,Math,2014,Percent,LNE
AGUILAR REORGANIZED 6,Reading,2013,Percent,LNE
AGUILAR REORGANIZED 6,Reading,2014,Percent,LNE
AGUILAR REORGANIZED 6,Writing,2014,Percent,LNE
AGUILAR REORGANIZED 6,Writing,2013,Percent,LNE
AKRON R-1,Math,2008,Percent,0.486
AKRON R-1,Math,2009,Percent,0.394
AKRON R-1,Math,2010,Percent,0.656
AKRON R-1,Reading,2008,Percent,0.583
AKRON R-1,Reading,2009,Percent,0.727
AKRON R-1,Reading,2010,Percent,0.719
AKRON R-1,Writing,2008,Percent,N/A
AKRON R-1,Writing,2009,Percent,N/A
AKRON R-1,Writing,2010,Percent,0.406
AKRON R-1,Math,2011,Percent,LNE
AKRON R-1,Reading,2011,Percent,LNE
AKRON R-1,Writing,2011,Percent,LNE
AKRON R-1,Reading,2012,Percent,0.792
AKRON R-1,Math,2012,Percent,0.792
AKRON R-1,Writing,2012,Percent,0.66667
AKRON R-1,Math,2013,Percent,0.5
AKRON R-1,Math,2014,Percent,0.57895
AKRON R-1,Reading,2013,Percent,0.67857
AKRON R-1,Reading,2014,Percent,0.78947
AKRON R-1,Writing,2014,Percent,0.31579
AKRON R-1,Writing,2013,Percent,0.39286
ALAMOSA RE-11J,Math,2008,Percent,0.632
ALAMOSA RE-11J,Math,2009,Percent,0.467
ALAMOSA RE-11J,Math,2010,Percent,0.631
ALAMOSA RE-11J,Reading,2008,Percent,0.649
ALAMOSA RE-11J,Reading,2009,Percent,0.593
ALAMOSA RE-11J,Reading,2010,Percent,0.65
ALAMOSA RE-11J,Writing,2008,Percent,0.4
ALAMOSA RE-11J,Writing,2009,Percent,0.515
ALAMOSA RE-11J,Writing,2010,Percent,0.379
ALAMOSA RE-11J,Math,2011,Percent,0.626
ALAMOSA RE-11J,Reading,2011,Percent,0.704
ALAMOSA RE-11J,Writing,2011,Percent,0.37
ALAMOSA RE-11J,Reading,2012,Percent,0.761
ALAMOSA RE-11J,Math,2012,Percent,0.731
ALAMOSA RE-11J,Writing,2012,Percent,0.41935
ALAMOSA RE-11J,Math,2013,Percent,0.69799
ALAMOSA RE-11J,Math,2014,Percent,0.68783
ALAMOSA RE-11J,Reading,2013,Percent,0.7027
ALAMOSA RE-11J,Reading,2014,Percent,0.61053
ALAMOSA RE-11J,Writing,2014,Percent,0.35106
ALAMOSA RE-11J,Writing,2013,Percent,0.37162
ARCHULETA COUNTY 50 JT,Math,2008,Percent,0.66
ARCHULETA COUNTY 50 JT,Math,2009,Percent,0.629
ARCHULETA COUNTY 50 JT,Math,2010,Percent,0.723
ARCHULETA COUNTY 50 JT,Reading,2008,Percent,0.732
ARCHULETA COUNTY 50 JT,Reading,2009,Percent,0.783
ARCHULETA COUNTY 50 JT,Reading,2010,Percent,0.696
ARCHULETA COUNTY 50 JT,Writing,2008,Percent,0.302
ARCHULETA COUNTY 50 JT,Writing,2009,Percent,0.37
ARCHULETA COUNTY 50 JT,Writing,2010,Percent,0.584
ARCHULETA COUNTY 50 JT,Math,2011,Percent,0.709
ARCHULETA COUNTY 50 JT,Reading,2011,Percent,0.76
ARCHULETA COUNTY 50 JT,Writing,2011,Percent,0.466
ARCHULETA COUNTY 50 JT,Reading,2012,Percent,0.739
ARCHULETA COUNTY 50 JT,Math,2012,Percent,0.679
ARCHULETA COUNTY 50 JT,Writing,2012,Percent,0.44037
ARCHULETA COUNTY 50 JT,Math,2013,Percent,0.56667
ARCHULETA COUNTY 50 JT,Math,2014,Percent,0.58621
ARCHULETA COUNTY 50 JT,Reading,2013,Percent,0.625
ARCHULETA COUNTY 50 JT,Reading,2014,Percent,0.71591
ARCHULETA COUNTY 50 JT,Writing,2014,Percent,0.43678
ARCHULETA COUNTY 50 JT,Writing,2013,Percent,0.375
ARICKAREE R-2,Math,2008,Percent,#VALUE!
ARICKAREE R-2,Math,2009,Percent,#VALUE!
ARICKAREE R-2,Math,2010,Percent,N/A
ARICKAREE R-2,Reading,2008,Percent,N/A
ARICKAREE R-2,Reading,2009,Percent,N/A
ARICKAREE R-2,Reading,2010,Percent,N/A
ARICKAREE R-2,Writing,2008,Percent,0.505
ARICKAREE R-2,Writing,2009,Percent,0.56
ARICKAREE R-2,Writing,2010,Percent,N/A
ARICKAREE R-2,Math,2011,Percent,LNE
ARICKAREE R-2,Reading,2011,Percent,LNE
ARICKAREE R-2,Writing,2011,Percent,LNE
ARICKAREE R-2,Reading,2012,Percent,LNE
ARICKAREE R-2,Math,2012,Percent,LNE
ARICKAREE R-2,Writing,2012,Percent,LNE
ARICKAREE R-2,Math,2013,Percent,LNE
ARICKAREE R-2,Math,2014,Percent,LNE
ARICKAREE R-2,Reading,2013,Percent,LNE
ARICKAREE R-2,Reading,2014,Percent,LNE
ARICKAREE R-2,Writing,2014,Percent,LNE
ARICKAREE R-2,Writing,2013,Percent,LNE
ARRIBA-FLAGLER C-20,Math,2008,Percent,#VALUE!
ARRIBA-FLAGLER C-20,Math,2009,Percent,#VALUE!
ARRIBA-FLAGLER C-20,Math,2010,Percent,N/A
ARRIBA-FLAGLER C-20,Reading,2008,Percent,N/A
ARRIBA-FLAGLER C-20,Reading,2009,Percent,N/A
ARRIBA-FLAGLER C-20,Reading,2010,Percent,N/A
ARRIBA-FLAGLER C-20,Writing,2008,Percent,N/A
ARRIBA-FLAGLER C-20,Writing,2009,Percent,N/A
ARRIBA-FLAGLER C-20,Writing,2010,Percent,N/A
ARRIBA-FLAGLER C-20,Math,2011,Percent,LNE
ARRIBA-FLAGLER C-20,Reading,2011,Percent,LNE
ARRIBA-FLAGLER C-20,Writing,2011,Percent,LNE
ARRIBA-FLAGLER C-20,Reading,2012,Percent,0.588
ARRIBA-FLAGLER C-20,Math,2012,Percent,0.353
ARRIBA-FLAGLER C-20,Writing,2012,Percent,0.35294
ARRIBA-FLAGLER C-20,Math,2013,Percent,LNE
ARRIBA-FLAGLER C-20,Math,2014,Percent,LNE
ARRIBA-FLAGLER C-20,Reading,2013,Percent,LNE
ARRIBA-FLAGLER C-20,Reading,2014,Percent,LNE
ARRIBA-FLAGLER C-20,Writing,2014,Percent,LNE
ARRIBA-FLAGLER C-20,Writing,2013,Percent,LNE
ASPEN 1,Math,2008,Percent,0.884
ASPEN 1,Math,2009,Percent,0.825
ASPEN 1,Math,2010,Percent,0.879
ASPEN 1,Reading,2008,Percent,0.875
ASPEN 1,Reading,2009,Percent,0.874
ASPEN 1,Reading,2010,Percent,0.904
ASPEN 1,Writing,2008,Percent,N/A
ASPEN 1,Writing,2009,Percent,N/A
ASPEN 1,Writing,2010,Percent,0.616
ASPEN 1,Math,2011,Percent,0.824
ASPEN 1,Reading,2011,Percent,0.86
ASPEN 1,Writing,2011,Percent,0.581
ASPEN 1,Reading,2012,Percent,0.89
ASPEN 1,Math,2012,Percent,0.811
ASPEN 1,Writing,2012,Percent,0.62205
ASPEN 1,Math,2013,Percent,0.875
ASPEN 1,Math,2014,Percent,0.79365
ASPEN 1,Reading,2013,Percent,0.98333
ASPEN 1,Reading,2014,Percent,0.88889
ASPEN 1,Writing,2014,Percent,0.68254
ASPEN 1,Writing,2013,Percent,0.69167
AULT-HIGHLAND RE-9,Math,2008,Percent,0.7
AULT-HIGHLAND RE-9,Math,2009,Percent,0.636
AULT-HIGHLAND RE-9,Math,2010,Percent,0.638
AULT-HIGHLAND RE-9,Reading,2008,Percent,0.638
AULT-HIGHLAND RE-9,Reading,2009,Percent,0.674
AULT-HIGHLAND RE-9,Reading,2010,Percent,0.561
AULT-HIGHLAND RE-9,Writing,2008,Percent,0.58
AULT-HIGHLAND RE-9,Writing,2009,Percent,0.68
AULT-HIGHLAND RE-9,Writing,2010,Percent,0.333
AULT-HIGHLAND RE-9,Math,2011,Percent,0.667
AULT-HIGHLAND RE-9,Reading,2011,Percent,0.694
AULT-HIGHLAND RE-9,Writing,2011,Percent,0.484
AULT-HIGHLAND RE-9,Reading,2012,Percent,0.559
AULT-HIGHLAND RE-9,Math,2012,Percent,0.515
AULT-HIGHLAND RE-9,Writing,2012,Percent,0.36364
AULT-HIGHLAND RE-9,Math,2013,Percent,0.72581
AULT-HIGHLAND RE-9,Math,2014,Percent,0.61538
AULT-HIGHLAND RE-9,Reading,2013,Percent,0.75
AULT-HIGHLAND RE-9,Reading,2014,Percent,0.66038
AULT-HIGHLAND RE-9,Writing,2014,Percent,0.55769
AULT-HIGHLAND RE-9,Writing,2013,Percent,0.45
BAYFIELD 10 JT-R,Math,2008,Percent,0.691
BAYFIELD 10 JT-R,Math,2009,Percent,0.781
BAYFIELD 10 JT-R,Math,2010,Percent,0.759
BAYFIELD 10 JT-R,Reading,2008,Percent,0.753
BAYFIELD 10 JT-R,Reading,2009,Percent,0.734
BAYFIELD 10 JT-R,Reading,2010,Percent,0.77
BAYFIELD 10 JT-R,Writing,2008,Percent,0.486
BAYFIELD 10 JT-R,Writing,2009,Percent,0.386
BAYFIELD 10 JT-R,Writing,2010,Percent,0.555
BAYFIELD 10 JT-R,Math,2011,Percent,0.761
BAYFIELD 10 JT-R,Reading,2011,Percent,0.763
BAYFIELD 10 JT-R,Writing,2011,Percent,0.452
BAYFIELD 10 JT-R,Reading,2012,Percent,0.667
BAYFIELD 10 JT-R,Math,2012,Percent,0.736
BAYFIELD 10 JT-R,Writing,2012,Percent,0.34862
BAYFIELD 10 JT-R,Math,2013,Percent,0.70588
BAYFIELD 10 JT-R,Math,2014,Percent,0.78
BAYFIELD 10 JT-R,Reading,2013,Percent,0.7549
BAYFIELD 10 JT-R,Reading,2014,Percent,0.76238
BAYFIELD 10 JT-R,Writing,2014,Percent,0.45
BAYFIELD 10 JT-R,Writing,2013,Percent,0.29412
BENNETT 29J,Math,2008,Percent,0.687
BENNETT 29J,Math,2009,Percent,0.719
BENNETT 29J,Math,2010,Percent,0.639
BENNETT 29J,Reading,2008,Percent,0.61
BENNETT 29J,Reading,2009,Percent,0.753
BENNETT 29J,Reading,2010,Percent,0.667
BENNETT 29J,Writing,2008,Percent,0.605
BENNETT 29J,Writing,2009,Percent,0.573
BENNETT 29J,Writing,2010,Percent,0.514
BENNETT 29J,Math,2011,Percent,0.691
BENNETT 29J,Reading,2011,Percent,0.755
BENNETT 29J,Writing,2011,Percent,0.383
BENNETT 29J,Reading,2012,Percent,0.79
BENNETT 29J,Math,2012,Percent,0.753
BENNETT 29J,Writing,2012,Percent,0.48148
BENNETT 29J,Math,2013,Percent,0.76119
BENNETT 29J,Math,2014,Percent,0.80597
BENNETT 29J,Reading,2013,Percent,0.68657
BENNETT 29J,Reading,2014,Percent,0.70149
BENNETT 29J,Writing,2014,Percent,0.56716
BENNETT 29J,Writing,2013,Percent,0.44776
BETHUNE R-5,Math,2008,Percent,#VALUE!
BETHUNE R-5,Math,2009,Percent,#VALUE!
BETHUNE R-5,Math,2010,Percent,N/A
BETHUNE R-5,Reading,2008,Percent,N/A
BETHUNE R-5,Reading,2009,Percent,N/A
BETHUNE R-5,Reading,2010,Percent,N/A
BETHUNE R-5,Writing,2008,Percent,0.47
BETHUNE R-5,Writing,2009,Percent,0.618
BETHUNE R-5,Writing,2010,Percent,N/A
BETHUNE R-5,Math,2011,Percent,LNE
BETHUNE R-5,Reading,2011,Percent,LNE
BETHUNE R-5,Writing,2011,Percent,LNE
BETHUNE R-5,Reading,2012,Percent,LNE
BETHUNE R-5,Math,2012,Percent,LNE
BETHUNE R-5,Writing,2012,Percent,LNE
BETHUNE R-5,Math,2013,Percent,LNE
BETHUNE R-5,Math,2014,Percent,LNE
BETHUNE R-5,Reading,2013,Percent,LNE
BETHUNE R-5,Reading,2014,Percent,LNE
BETHUNE R-5,Writing,2014,Percent,LNE
BETHUNE R-5,Writing,2013,Percent,LNE
BIG SANDY 100J,Math,2008,Percent,0.917
BIG SANDY 100J,Math,2009,Percent,0.864
BIG SANDY 100J,Math,2010,Percent,0.773
BIG SANDY 100J,Reading,2008,Percent,0.76
BIG SANDY 100J,Reading,2009,Percent,0.783
BIG SANDY 100J,Reading,2010,Percent,0.727
BIG SANDY 100J,Writing,2008,Percent,N/A
BIG SANDY 100J,Writing,2009,Percent,N/A
BIG SANDY 100J,Writing,2010,Percent,0.682
BIG SANDY 100J,Math,2011,Percent,0.846
BIG SANDY 100J,Reading,2011,Percent,0.769
BIG SANDY 100J,Writing,2011,Percent,0.615
BIG SANDY 100J,Reading,2012,Percent,0.667
BIG SANDY 100J,Math,2012,Percent,0.833
BIG SANDY 100J,Writing,2012,Percent,0.5
BIG SANDY 100J,Math,2013,Percent,0.875
BIG SANDY 100J,Math,2014,Percent,0.8125
BIG SANDY 100J,Reading,2013,Percent,0.64706
BIG SANDY 100J,Reading,2014,Percent,0.8125
BIG SANDY 100J,Writing,2014,Percent,0.5
BIG SANDY 100J,Writing,2013,Percent,0.5625
BOULDER VALLEY RE 2,Math,2008,Percent,0.823
BOULDER VALLEY RE 2,Math,2009,Percent,0.814
BOULDER VALLEY RE 2,Math,2010,Percent,0.806
BOULDER VALLEY RE 2,Reading,2008,Percent,0.851
BOULDER VALLEY RE 2,Reading,2009,Percent,0.847
BOULDER VALLEY RE 2,Reading,2010,Percent,0.827
BOULDER VALLEY RE 2,Writing,2008,Percent,0.708
BOULDER VALLEY RE 2,Writing,2009,Percent,0.682
BOULDER VALLEY RE 2,Writing,2010,Percent,0.631
BOULDER VALLEY RE 2,Math,2011,Percent,0.811
BOULDER VALLEY RE 2,Reading,2011,Percent,0.844
BOULDER VALLEY RE 2,Writing,2011,Percent,0.635
BOULDER VALLEY RE 2,Reading,2012,Percent,0.839
BOULDER VALLEY RE 2,Math,2012,Percent,0.826
BOULDER VALLEY RE 2,Writing,2012,Percent,0.6587
BOULDER VALLEY RE 2,Math,2013,Percent,0.82047
BOULDER VALLEY RE 2,Math,2014,Percent,0.78467
BOULDER VALLEY RE 2,Reading,2013,Percent,0.84302
BOULDER VALLEY RE 2,Reading,2014,Percent,0.83375
BOULDER VALLEY RE 2,Writing,2014,Percent,0.65084
BOULDER VALLEY RE 2,Writing,2013,Percent,0.65129
BRANSON REORGANIZED 82,Math,2008,Percent,0.708
BRANSON REORGANIZED 82,Math,2009,Percent,0.714
BRANSON REORGANIZED 82,Math,2010,Percent,0.765
BRANSON REORGANIZED 82,Reading,2008,Percent,0.75
BRANSON REORGANIZED 82,Reading,2009,Percent,0.818
BRANSON REORGANIZED 82,Reading,2010,Percent,0.722
BRANSON REORGANIZED 82,Writing,2008,Percent,0.621
BRANSON REORGANIZED 82,Writing,2009,Percent,0.685
BRANSON REORGANIZED 82,Writing,2010,Percent,0.647
BRANSON REORGANIZED 82,Math,2011,Percent,0.72
BRANSON REORGANIZED 82,Reading,2011,Percent,0.64
BRANSON REORGANIZED 82,Writing,2011,Percent,0.32
BRANSON REORGANIZED 82,Reading,2012,Percent,0.778
BRANSON REORGANIZED 82,Math,2012,Percent,0.647
BRANSON REORGANIZED 82,Writing,2012,Percent,0.29412
BRANSON REORGANIZED 82,Math,2013,Percent,0.77778
BRANSON REORGANIZED 82,Math,2014,Percent,0.80645
BRANSON REORGANIZED 82,Reading,2013,Percent,0.68421
BRANSON REORGANIZED 82,Reading,2014,Percent,0.9375
BRANSON REORGANIZED 82,Writing,2014,Percent,0.58065
BRANSON REORGANIZED 82,Writing,2013,Percent,0.55556
BRIGGSDALE RE-10,Math,2008,Percent,#VALUE!
BRIGGSDALE RE-10,Math,2009,Percent,#VALUE!
BRIGGSDALE RE-10,Math,2010,Percent,N/A
BRIGGSDALE RE-10,Reading,2008,Percent,N/A
BRIGGSDALE RE-10,Reading,2009,Percent,N/A
BRIGGSDALE RE-10,Reading,2010,Percent,N/A
BRIGGSDALE RE-10,Writing,2008,Percent,0.5
BRIGGSDALE RE-10,Writing,2009,Percent,0.429
BRIGGSDALE RE-10,Writing,2010,Percent,N/A
BRIGGSDALE RE-10,Math,2011,Percent,LNE
BRIGGSDALE RE-10,Reading,2011,Percent,LNE
BRIGGSDALE RE-10,Writing,2011,Percent,LNE
BRIGGSDALE RE-10,Reading,2012,Percent,LNE
BRIGGSDALE RE-10,Math,2012,Percent,LNE
BRIGGSDALE RE-10,Writing,2012,Percent,LNE
BRIGGSDALE RE-10,Math,2013,Percent,LNE
BRIGGSDALE RE-10,Math,2014,Percent,LNE
BRIGGSDALE RE-10,Reading,2013,Percent,LNE
BRIGGSDALE RE-10,Reading,2014,Percent,LNE
BRIGGSDALE RE-10,Writing,2014,Percent,LNE
BRIGGSDALE RE-10,Writing,2013,Percent,LNE
BRIGHTON 27J,Math,2008,Percent,0.677
BRIGHTON 27J,Math,2009,Percent,0.705
BRIGHTON 27J,Math,2010,Percent,0.695
BRIGHTON 27J,Reading,2008,Percent,0.655
BRIGHTON 27J,Reading,2009,Percent,0.749
BRIGHTON 27J,Reading,2010,Percent,0.712
BRIGHTON 27J,Writing,2008,Percent,N/A
BRIGHTON 27J,Writing,2009,Percent,N/A
BRIGHTON 27J,Writing,2010,Percent,0.507
BRIGHTON 27J,Math,2011,Percent,0.662
BRIGHTON 27J,Reading,2011,Percent,0.716
BRIGHTON 27J,Writing,2011,Percent,0.48
BRIGHTON 27J,Reading,2012,Percent,0.763
BRIGHTON 27J,Math,2012,Percent,0.732
BRIGHTON 27J,Writing,2012,Percent,0.53318
BRIGHTON 27J,Math,2013,Percent,0.72411
BRIGHTON 27J,Math,2014,Percent,0.71836
BRIGHTON 27J,Reading,2013,Percent,0.73579
BRIGHTON 27J,Reading,2014,Percent,0.72048
BRIGHTON 27J,Writing,2014,Percent,0.47051
BRIGHTON 27J,Writing,2013,Percent,0.48125
BRUSH RE-2(J),Math,2008,Percent,0.625
BRUSH RE-2(J),Math,2009,Percent,0.648
BRUSH RE-2(J),Math,2010,Percent,0.634
BRUSH RE-2(J),Reading,2008,Percent,0.631
BRUSH RE-2(J),Reading,2009,Percent,0.702
BRUSH RE-2(J),Reading,2010,Percent,0.574
BRUSH RE-2(J),Writing,2008,Percent,0.497
BRUSH RE-2(J),Writing,2009,Percent,0.544
BRUSH RE-2(J),Writing,2010,Percent,0.416
BRUSH RE-2(J),Math,2011,Percent,0.615
BUENA VISTA R-31,Math,2008,Percent,0.683
BUFFALO RE-4,Math,2008,Percent,0.88
BURLINGTON RE-6J,Math,2008,Percent,0.96
BYERS 32J,Math,2008,Percent,0.743
CALHAN RJ-1,Math,2008,Percent,0.711
CAMPO RE-6,Math,2008,Percent,#VALUE!
CANON CITY RE-1,Math,2008,Percent,0.714
CENTENNIAL R-1,Math,2008,Percent,#VALUE!
CENTER 26 JT,Math,2008,Percent,0.358
CHERAW 31,Math,2008,Percent,#VALUE!
CHERRY CREEK 5,Math,2008,Percent,0.771
CHEYENNE COUNTY RE-5,Math,2008,Percent,#VALUE!
CHEYENNE MOUNTAIN 12,Math,2008,Percent,0.902
CLEAR CREEK RE-1,Math,2008,Percent,0.822
COLORADO SPRINGS 11,Math,2008,Percent,0.731
COTOPAXI RE-3,Math,2008,Percent,#VALUE!
CREEDE CONSOLIDATED 1,Math,2008,Percent,#VALUE!
CRIPPLE CREEK-VICTOR RE-1,Math,2008,Percent,0.968
CROWLEY COUNTY RE-1-J,Math,2008,Percent,0.568
CUSTER COUNTY SCHOOL DISTRICT C-1,Math,2008,Percent,0.806
DE BEQUE 49JT,Math,2008,Percent,#VALUE!
DEER TRAIL 26J,Math,2008,Percent,#VALUE!
DEL NORTE C-7,Math,2008,Percent,0.704
DELTA COUNTY 50(J),Math,2008,Percent,0.753
DENVER COUNTY 1,Math,2008,Percent,0.461
DOLORES COUNTY RE NO.2,Math,2008,Percent,0.938
DOLORES RE-4A,Math,2008,Percent,0.628
DOUGLAS COUNTY RE 1,Math,2008,Percent,0.834
DURANGO 9-R,Math,2008,Percent,0.769
EADS RE-1,Math,2008,Percent,#VALUE!
EAGLE COUNTY RE 50,Math,2008,Percent,0.658
EAST GRAND 2,Math,2008,Percent,0.774
EAST OTERO R-1,Math,2008,Percent,0.568
EAST YUMA COUNTY RJ-2,Math,2008,Percent,N/A
EATON RE-2,Math,2008,Percent,0.73
EDISON 54 JT,Math,2008,Percent,#VALUE!
ELBERT 200,Math,2008,Percent,0.882
ELIZABETH C-1,Math,2008,Percent,0.715
ELLICOTT 22,Math,2008,Percent,0.643
ENGLEWOOD 1,Math,2008,Percent,0.581
FALCON 49,Math,2008,Percent,0.742
FLORENCE RE-2,Math,2008,Percent,0.832
FORT MORGAN RE-3,Math,2008,Percent,0.633
BUENA VISTA R-31,Math,2009,Percent,0.902
BUFFALO RE-4,Math,2009,Percent,0.87
BURLINGTON RE-6J,Math,2009,Percent,0.603
BYERS 32J,Math,2009,Percent,0.808
CALHAN RJ-1,Math,2009,Percent,0.735
CAMPO RE-6,Math,2009,Percent,#VALUE!
CANON CITY RE-1,Math,2009,Percent,0.653
CENTENNIAL R-1,Math,2009,Percent,#VALUE!
CENTER 26 JT,Math,2009,Percent,0.324
CHERAW 31,Math,2009,Percent,0.75
CHERRY CREEK 5,Math,2009,Percent,0.769
CHEYENNE COUNTY RE-5,Math,2009,Percent,#VALUE!
CHEYENNE MOUNTAIN 12,Math,2009,Percent,0.878
CLEAR CREEK RE-1,Math,2009,Percent,0.849
COLORADO SPRINGS 11,Math,2009,Percent,0.726
COTOPAXI RE-3,Math,2009,Percent,#VALUE!
CREEDE CONSOLIDATED 1,Math,2009,Percent,#VALUE!
